model_date,date,geography_modeled,rt_median,rt_lower,rt_upper
2021-02-03,2020-04-29,covidregion_11,0.919249542781769,0.856525915497627,0.986375518965068
2021-02-03,2020-05-01,covidregion_11,0.909732099199215,0.844043991714406,0.972450888761047
2021-02-03,2020-05-03,covidregion_11,0.894603204880213,0.839669922269118,0.94906505565714
2021-02-03,2020-05-05,covidregion_11,0.879545170522833,0.820558225092787,0.935358311790062
2021-02-03,2020-05-07,covidregion_11,0.875227725456229,0.815995088344844,0.940807602462111
2021-02-03,2020-05-09,covidregion_11,0.87387482958515,0.834459916853756,0.940351451915846
2021-02-03,2020-05-11,covidregion_11,0.892755032946497,0.834978055948203,0.945469999935095
2021-02-03,2020-05-13,covidregion_11,0.873015745401712,0.834364031504297,0.956707688214449
2021-02-03,2020-05-15,covidregion_11,0.876598271800687,0.81678369059569,0.945236252580699
2021-02-03,2020-05-17,covidregion_11,0.87435250796392,0.814750749017055,0.937243683193773
2021-02-03,2020-05-19,covidregion_11,0.855365289561292,0.799513061774436,0.921388774329107
2021-02-03,2020-05-21,covidregion_11,0.8568271385469,0.80790058509288,0.910489342570139
2021-02-03,2020-05-23,covidregion_11,0.867287678908644,0.802077111308732,0.913584325476735
2021-02-03,2020-05-25,covidregion_11,0.857440352073333,0.804201418974542,0.91401993193375
2021-02-03,2020-05-27,covidregion_11,0.847207551793465,0.782492374886332,0.911327581060309
2021-02-03,2020-05-29,covidregion_11,0.843608005736074,0.790157697876393,0.911058956109178
2021-02-03,2020-05-31,covidregion_11,0.851571304031836,0.785351466183876,0.915821753786387
2021-02-03,2020-06-02,covidregion_11,0.852723836289278,0.772173720507809,0.919065750344521
2021-02-03,2020-06-04,covidregion_11,0.846633828168739,0.769903941214922,0.921141786024624
2021-02-03,2020-06-06,covidregion_11,0.853440996806327,0.78060060315295,0.912548670022491
2021-02-03,2020-06-08,covidregion_11,0.84584954015052,0.770060090663278,0.920029556977128
2021-02-03,2020-06-10,covidregion_11,0.848113503011788,0.762413563828685,0.915074254847045
2021-02-03,2020-06-12,covidregion_11,0.860303038713173,0.754273750711419,0.914596114403274
2021-02-03,2020-06-14,covidregion_11,0.853656128826349,0.765441125922817,0.935046541482173
2021-02-03,2020-06-16,covidregion_11,0.84012626368187,0.777150578003717,0.94616909804002
2021-02-03,2020-06-18,covidregion_11,0.842683637256565,0.773882862346248,0.973316696196969
2021-02-03,2020-06-20,covidregion_11,0.884018643224166,0.774059677959288,0.97247407217228
2021-02-03,2020-06-22,covidregion_11,0.891394753340801,0.793156721960257,0.986058598197981
2021-02-03,2020-06-24,covidregion_11,0.904711030440701,0.806769620631369,1.03409318611986
2021-02-03,2020-06-26,covidregion_11,0.925759852184637,0.814075468573959,1.03343330108974
2021-02-03,2020-06-28,covidregion_11,0.948702001932682,0.840068691656432,1.06557413995657
2021-02-03,2020-06-30,covidregion_11,0.961455571489372,0.867429217601706,1.05368752990769
2021-02-03,2020-07-02,covidregion_11,0.961125602776056,0.857132946901107,1.05511013357183
2021-02-03,2020-07-04,covidregion_11,0.963427922308984,0.83269151858713,1.05434394802825
2021-02-03,2020-07-06,covidregion_11,0.961373795695735,0.832927068304485,1.04736329743283
2021-02-03,2020-07-08,covidregion_11,0.969304756356161,0.830941218760653,1.05073067114966
2021-02-03,2020-07-10,covidregion_11,0.966595080845212,0.821081024032136,1.05250783445517
2021-02-03,2020-07-12,covidregion_11,0.958703644421669,0.81225017150771,1.05880626803181
2021-02-03,2020-07-14,covidregion_11,0.945788726898946,0.807380818716298,1.05158967372912
2021-02-03,2020-07-16,covidregion_11,0.972387705271837,0.7851440900567,1.0725298690685
2021-02-03,2020-07-18,covidregion_11,0.966314881478882,0.801993848475825,1.10125183763053
2021-02-03,2020-07-20,covidregion_11,0.969253553882165,0.814819553532688,1.10004290670886
2021-02-03,2020-07-22,covidregion_11,0.962092038877574,0.796977533824501,1.09422833243403
2021-02-03,2020-07-24,covidregion_11,0.982101940946661,0.783204412865954,1.06445453624311
2021-02-03,2020-07-26,covidregion_11,0.979601090175199,0.809268233927864,1.06944738224524
2021-02-03,2020-07-28,covidregion_11,0.958102055147102,0.828465675551258,1.09639741324508
